1,Gengar,6,5,TG06/TG30,1
2,Centiskorch VMAX,2,5,TG15/TG30,1
3,Pikachu ,7,6,160/159,2
4,Deoxys,6,4,GG12/GG70,2
5,Riolu,5,7,215/198,3
6,Drowzee,6,7,210/198,3
7,Dondozo,3,7,207/198,3
8,Wiglett,3,7,206/198,3
9,Cleffa,6,7,207/197,4
10,Eiscue EX,2,8,222/197,4
11,Pawmi,7,7,226/091,5
12,Noivern EX,10,11,220/091,5
13,Scizor,9,10,191/091,5
14,Luxray,7,10,137/091,5
15,Slowpoke,3,10,116/091,5
16,Cutiefly,6,7,172/162,6
17,Gastly,8,7,177/162,6
18,Lickitung,1,7,180/162,6
19,Iron Crown EX,6,5,191/162,6
20,Raging Bolt EX,10,9,218/162,6
21,Ceruledge,2,7,197/191,7
22,Spheal,3,7,199/191,7
23,Bruxish,3,7,200/191,7
24,Pikachu EX,7,8,238/191,7
25,Articuno,3,7,161/159,8
26,Wailord,3,7,162/159,8
27,Swinub,5,7,165/159,8
28,Volcanion EX,2,8,182/159,8