Ownership_ID,Card_ID,Quantity,Method_of_Obtaining,Purchase Price,Pack_Price,Market_Price,Date_of_price_evaluation_November_2025
1,1,1,Pulled,,10.00,31.79,11-29-25
2,2,1,Pulled,,10.00,5.46,11-29-25
3,3,1,Bought,10.00,,27.07,11-29-25
4,4,1,Bought,15.00,,10.41,11-29-25
5,5,1,Bought,20.00,,22.88,11-29-25
6,6,1,Bought,15.00,,29.63,11-29-25
7,7,2,Pulled,,7.00,9.03,11-29-25
8,8,1,Pulled,,7.00,9.21,11-29-25
9,9,1,Pulled,,8.00,19.63,11-29-25
10,10,1,Pulled,,8.00,4.97,11-29-25
11,11,3,Pulled,,10.00,1.63,11-29-25
12,12,1,Pulled,,10.00,1.67,11-29-25
13,13,1,Bought,5.00,,8.66,11-29-25
14,14,1,Pulled,,10.00,7.58,11-29-25
15,15,1,Pulled,,10.00,7.47,11-29-25
16,16,1,Pulled,,7.00,4.24,11-29-25
17,17,1,Pulled,,7.00,55.24,11-29-25
18,18,1,Pulled,,7.00,13.48,11-29-25
19,19,1,Pulled,,7.00,1.40,11-29-25
20,20,1,Pulled,,7.00,11.68,11-29-25
21,21,1,Bought,20.00,,16.93,11-29-25
22,22,1,Pulled,,8.00,5.29,11-29-25
23,23,1,Pulled,,8.00,1.67,11-29-25
24,24,1,Pulled,,8.00,295.78,11-29-25
25,25,1,Pulled,,8.00,15.73,11-29-25
26,26,1,Bought,10.00,,10.86,11-29-25
27,27,1,Pulled,,8.00,2.57,11-29-25
28,28,1,Pulled,,8.00,20.38,11-29-25